era,trkiso,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc
preBpix,normal,unseed,EE_R9_0p90to0p93,70.0,90.0,0.9792,0.006,4,0,0.9753,0.0089,0,0,0.0039,0.007156
preBpix,normal,unseed,EE_R9_0p90to0p93,90.0,999999.0,0.9739,0.0056,0,0,0.9734,0.0043,0,0,0.0005,0.005622
preBpix,normal,unseed,EE_R9gt0p93,0.0,21.0,0.7077,0.0102,4,4,0.7257,0.0236,4,0,0.018,0.020689
preBpix,normal,unseed,EE_R9gt0p93,21.0,25.0,0.8813,0.0061,4,4,0.9036,0.0103,4,0,0.0223,0.023119
preBpix,normal,unseed,EE_R9gt0p93,25.0,28.0,0.9523,0.0016,4,0,0.9274,0.0026,4,0,0.0249,0.024951
preBpix,normal,unseed,EE_R9gt0p93,28.0,31.0,0.9578,0.0023,0,4,0.9461,0.0018,4,4,0.0117,0.011924
preBpix,normal,unseed,EE_R9gt0p93,31.0,35.0,0.9748,0.001,0,0,0.9623,0.0005,4,4,0.0125,0.01254
preBpix,normal,unseed,EE_R9gt0p93,35.0,40.0,0.9753,0.0003,4,0,0.9749,0.0003,4,0,0.0004,0.0005
preBpix,normal,unseed,EE_R9gt0p93,40.0,45.0,0.9826,0.0002,4,0,0.9823,0.0003,0,0,0.0003,0.000361
preBpix,normal,unseed,EE_R9gt0p93,45.0,50.0,0.9852,0.0009,0,0,0.9851,0.0003,0,0,0.0001,0.000906
preBpix,normal,unseed,EE_R9gt0p93,50.0,60.0,0.9878,0.0031,0,4,0.9877,0.0005,4,4,0.0001,0.003102
preBpix,normal,unseed,EE_R9gt0p93,60.0,70.0,0.9912,0.0013,0,0,0.9914,0.0007,0,4,0.0002,0.001315
preBpix,normal,unseed,EE_R9gt0p93,70.0,90.0,0.989,0.001,0,0,0.993,0.0016,0,0,0.004,0.004123
preBpix,normal,unseed,EE_R9gt0p93,90.0,999999.0,0.995,0.0041,0,0,0.9926,0.0009,4,0,0.0024,0.004751
preBpix,notrkiso,seed,EB_R9_0p50to0p55,0.0,35.0,0.8389,0.0187,0,0,0.822,0.0027,4,0,0.0169,0.025205
preBpix,notrkiso,seed,EB_R9_0p50to0p55,35.0,37.0,0.9024,0.003,0,0,0.902,0.0031,0,0,0.0004,0.003027
preBpix,notrkiso,seed,EB_R9_0p50to0p55,37.0,40.0,0.9132,0.0016,0,0,0.9132,0.0022,0,0,0.0,0.0016
preBpix,notrkiso,seed,EB_R9_0p50to0p55,40.0,45.0,0.9262,0.0025,0,4,0.9261,0.0016,0,0,0.0001,0.002502
preBpix,notrkiso,seed,EB_R9_0p50to0p55,45.0,50.0,0.9336,0.0039,0,0,0.9322,0.001,0,4,0.0014,0.004144
preBpix,notrkiso,seed,EB_R9_0p50to0p55,50.0,60.0,0.9298,0.0042,0,0,0.9313,0.0039,4,0,0.0015,0.00446
preBpix,notrkiso,seed,EB_R9_0p50to0p55,60.0,70.0,0.9626,0.0092,0,0,0.9448,0.0134,0,0,0.0178,0.020037
preBpix,notrkiso,seed,EB_R9_0p50to0p55,70.0,90.0,0.947,0.0138,4,0,0.9485,0.0138,0,0,0.0015,0.013881
preBpix,notrkiso,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9471,0.0199,0,0,0.9481,0.0193,0,0,0.001,0.019925
preBpix,notrkiso,seed,EB_R9_0p55to0p85,0.0,35.0,0.8784,0.0045,4,0,0.864,0.0008,0,4,0.0144,0.015087
preBpix,notrkiso,seed,EB_R9_0p55to0p85,35.0,37.0,0.9338,0.0011,0,0,0.9333,0.0004,4,0,0.0005,0.001208
preBpix,notrkiso,seed,EB_R9_0p55to0p85,37.0,40.0,0.9437,0.0,0,0,0.9437,0.0004,0,4,0.0,0.0
preBpix,notrkiso,seed,EB_R9_0p55to0p85,40.0,45.0,0.9518,0.0004,0,0,0.9516,0.0001,0,0,0.0002,0.000447
preBpix,notrkiso,seed,EB_R9_0p55to0p85,45.0,50.0,0.9537,0.0011,0,0,0.9533,0.0002,0,4,0.0004,0.00117
preBpix,notrkiso,seed,EB_R9_0p55to0p85,50.0,60.0,0.9508,0.0006,4,4,0.9517,0.0007,0,0,0.0009,0.001082
preBpix,notrkiso,seed,EB_R9_0p55to0p85,60.0,70.0,0.9582,0.0037,4,0,0.9542,0.0035,0,0,0.004,0.005449
preBpix,notrkiso,seed,EB_R9_0p55to0p85,70.0,90.0,0.9708,0.0039,4,0,0.9681,0.0041,0,0,0.0027,0.004743
preBpix,notrkiso,seed,EB_R9_0p55to0p85,90.0,999999.0,0.9794,0.0043,4,0,0.9741,0.003,4,0,0.0053,0.006825
preBpix,notrkiso,seed,EB_R9gt0p85,0.0,35.0,0.8767,0.003,4,4,0.8616,0.0011,0,0,0.0151,0.015395
preBpix,notrkiso,seed,EB_R9gt0p85,35.0,37.0,0.9068,0.0005,4,4,0.9145,0.0005,4,4,0.0077,0.007716
preBpix,notrkiso,seed,EB_R9gt0p85,37.0,40.0,0.9258,0.0002,0,0,0.9259,0.0003,0,4,0.0001,0.000224
preBpix,notrkiso,seed,EB_R9gt0p85,40.0,45.0,0.9381,0.0002,0,4,0.9379,0.0002,4,0,0.0002,0.000283
preBpix,notrkiso,seed,EB_R9gt0p85,45.0,50.0,0.9442,0.0007,4,4,0.944,0.0002,0,4,0.0002,0.000728
preBpix,notrkiso,seed,EB_R9gt0p85,50.0,60.0,0.9476,0.0012,0,4,0.9499,0.0004,0,4,0.0023,0.002594
preBpix,notrkiso,seed,EB_R9gt0p85,60.0,70.0,0.9549,0.001,0,4,0.9557,0.0015,0,0,0.0008,0.001281
preBpix,notrkiso,seed,EB_R9gt0p85,70.0,90.0,0.9716,0.0054,4,0,0.9696,0.0012,0,0,0.002,0.005758
preBpix,notrkiso,seed,EB_R9gt0p85,90.0,999999.0,0.9794,0.0013,4,4,0.981,0.0006,0,0,0.0016,0.002062
preBpix,notrkiso,seed,EE_R9_0p90to0p93,0.0,35.0,0.8236,0.0256,0,0,0.7769,0.003,0,4,0.0467,0.053256
preBpix,notrkiso,seed,EE_R9_0p90to0p93,35.0,37.0,0.9115,0.0026,0,0,0.9115,0.0026,0,0,0.0,0.0026
preBpix,notrkiso,seed,EE_R9_0p90to0p93,37.0,40.0,0.9253,0.0012,0,0,0.9251,0.0013,4,0,0.0002,0.001217
preBpix,notrkiso,seed,EE_R9_0p90to0p93,40.0,45.0,0.9383,0.0012,0,0,0.9381,0.001,4,4,0.0002,0.001217
preBpix,notrkiso,seed,EE_R9_0p90to0p93,45.0,50.0,0.9483,0.0056,4,4,0.9484,0.0008,0,0,0.0001,0.005601
preBpix,notrkiso,seed,EE_R9_0p90to0p93,50.0,60.0,0.9539,0.0025,4,0,0.9521,40.0019,4,0,0.0018,0.003081
preBpix,notrkiso,seed,EE_R9_0p90to0p93,60.0,70.0,0.962,0.0045,0,0,0.9631,0.0053,0,0,0.0011,0.004632
preBpix,notrkiso,seed,EE_R9_0p90to0p93,70.0,90.0,0.9705,0.0051,0,0,0.9709,0.006,0,0,0.0004,0.005116
preBpix,notrkiso,seed,EE_R9_0p90to0p93,90.0,999999.0,0.9769,0.0049,0,0,0.9754,0.0021,0,4,0.0015,0.005124
preBpix,notrkiso,seed,EE_R9gt0p93,0.0,35.0,0.8435,0.0031,0,0,0.8252,0.0009,0,0,0.0183,0.018561
preBpix,notrkiso,seed,EE_R9gt0p93,35.0,37.0,0.941,0.0012,0,4,0.9386,0.0007,0,4,0.0024,0.002683
preBpix,notrkiso,seed,EE_R9gt0p93,37.0,40.0,0.9503,0.0006,4,4,0.9496,0.0027,4,0,0.0007,0.000922
preBpix,notrkiso,seed,EE_R9gt0p93,40.0,45.0,0.9593,0.0006,4,0,0.9586,0.0008,0,4,0.0007,0.000922
preBpix,notrkiso,seed,EE_R9gt0p93,45.0,50.0,0.9648,0.0008,0,0,0.9645,0.0004,0,0,0.0003,0.000854
preBpix,notrkiso,seed,EE_R9gt0p93,50.0,60.0,0.9667,0.0008,0,0,0.9685,0.001,4,0,0.0018,0.00197
preBpix,notrkiso,seed,EE_R9gt0p93,60.0,70.0,0.977,0.0008,0,4,0.9772,0.0091,0,0,0.0002,0.000825
preBpix,notrkiso,seed,EE_R9gt0p93,70.0,90.0,0.9779,0.0018,0,0,0.9831,0.003,0,0,0.0052,0.005503
preBpix,notrkiso,seed,EE_R9gt0p93,90.0,999999.0,0.9882,0.0014,0,0,0.9883,0.0042,4,0,0.0001,0.001404
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,0.0,21.0,0.7761,0.0107,4,4,0.7961,0.0449,4,0,0.02,0.022682
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,21.0,25.0,0.8941,0.0225,4,0,0.8782,0.0117,0,4,0.0159,0.027551
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9286,0.012,4,0,0.9119,0.0012,0,4,0.0167,0.020564
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9449,0.0097,0,4,0.9163,0.0029,4,0,0.0286,0.0302
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9423,0.0139,0,0,0.9355,0.0009,0,0,0.0068,0.015474
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,35.0,40.0,0.9467,0.0014,0,0,0.9464,0.001,0,0,0.0003,0.001432
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9563,0.0013,0,0,0.9563,0.0013,0,0,0.0,0.0013
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,45.0,50.0,0.9623,0.0032,0,4,0.9617,0.0017,0,0,0.0006,0.003256
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9561,0.0014,0,0,0.956,0.0023,0,0,0.0001,0.001404
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,60.0,70.0,0.983,0.0207,4,0,0.9632,0.0069,4,0,0.0198,0.028645
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9565,0.0118,0,0,0.9574,0.0124,0,0,0.0009,0.011834
preBpix,notrkiso,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9426,0.0179,0,0,0.9467,0.0193,0,4,0.0041,0.018364
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,0.0,21.0,0.839,0.0095,4,4,0.8434,0.0056,4,0,0.0044,0.010469
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,21.0,25.0,0.9274,0.0039,4,4,0.9266,0.0017,0,4,0.0008,0.003981
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9574,0.0032,4,0,0.9426,0.0013,0,0,0.0148,0.015142
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9674,0.0054,0,4,0.9518,0.0011,0,0,0.0156,0.016508
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9607,0.0004,0,0,0.9606,0.0004,4,0,0.0001,0.000412
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9699,0.0003,4,0,0.9706,0.0003,4,0,0.0007,0.000762
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9764,0.0001,4,4,0.9763,0.0002,4,4,0.0001,0.000141
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9768,0.0004,0,4,0.9766,0.0003,0,4,0.0002,0.000447
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9717,0.0007,4,4,0.9727,0.0006,4,0,0.001,0.001221
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9742,0.0036,4,4,0.9714,0.0007,0,0,0.0028,0.004561
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,70.0,90.0,0.9783,0.0016,0,0,0.9783,0.0014,0,0,0.0,0.0016
preBpix,notrkiso,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9813,0.0031,0,0,0.9773,0.0032,0,0,0.004,0.005061
preBpix,notrkiso,unseed,EB_R9gt0p85,0.0,21.0,0.9047,0.0063,4,4,0.912,0.0029,4,4,0.0073,0.009643
preBpix,notrkiso,unseed,EB_R9gt0p85,21.0,25.0,0.9394,0.0026,4,4,0.9416,0.0014,4,0,0.0022,0.003406
preBpix,notrkiso,unseed,EB_R9gt0p85,25.0,28.0,0.9569,0.0038,0,0,0.9472,0.0013,4,0,0.0097,0.010418
preBpix,notrkiso,unseed,EB_R9gt0p85,28.0,31.0,0.9683,0.0015,0,0,0.956,0.0011,4,4,0.0123,0.012391
preBpix,notrkiso,unseed,EB_R9gt0p85,31.0,35.0,0.9653,0.0003,0,0,0.9655,0.0003,4,4,0.0002,0.000361
preBpix,notrkiso,unseed,EB_R9gt0p85,35.0,40.0,0.9731,0.0002,0,4,0.9731,0.0002,4,4,0.0,0.0002
preBpix,notrkiso,unseed,EB_R9gt0p85,40.0,45.0,0.9787,0.0001,0,4,0.9786,0.0001,4,4,0.0001,0.000141
preBpix,notrkiso,unseed,EB_R9gt0p85,45.0,50.0,0.9794,0.0001,0,0,0.9794,0.0001,4,0,0.0,0.0001
preBpix,notrkiso,unseed,EB_R9gt0p85,50.0,60.0,0.9782,0.0004,0,0,0.9782,0.0003,0,0,0.0,0.0004
preBpix,notrkiso,unseed,EB_R9gt0p85,60.0,70.0,0.9789,0.0026,0,0,0.9773,0.0007,0,0,0.0016,0.003053
preBpix,notrkiso,unseed,EB_R9gt0p85,70.0,90.0,0.9819,0.0006,4,4,0.9821,0.0032,0,0,0.0002,0.000632
preBpix,notrkiso,unseed,EB_R9gt0p85,90.0,999999.0,0.9839,0.0006,4,0,0.9845,0.0009,0,0,0.0006,0.000849
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,0.0,21.0,0.6875,0.0283,0,4,0.6855,0.0518,0,4,0.002,0.028371
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,21.0,25.0,0.8181,0.0263,0,4,0.847,0.0299,0,4,0.0289,0.039076
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,25.0,28.0,0.9266,0.0195,4,0,0.8857,0.0053,4,4,0.0409,0.045311
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,28.0,31.0,0.9251,0.0139,0,0,0.913,0.003,4,0,0.0121,0.018429
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,31.0,35.0,0.9394,0.0057,0,0,0.9279,0.002,0,0,0.0115,0.012835
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,35.0,40.0,0.9463,0.0004,0,0,0.9463,0.0007,0,0,0.0,0.0004
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,40.0,45.0,0.9566,0.0011,0,0,0.9564,0.0011,4,0,0.0002,0.001118
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,45.0,50.0,0.9604,0.0008,0,0,0.9607,0.0013,0,0,0.0003,0.000854
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,50.0,60.0,0.9622,0.0081,0,4,0.9635,0.0002,0,4,0.0013,0.008204
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,60.0,70.0,0.9685,0.0041,0,0,0.9705,0.0045,0,0,0.002,0.004562
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,70.0,90.0,0.9792,0.006,4,0,0.9753,0.0089,0,0,0.0039,0.007156
preBpix,notrkiso,unseed,EE_R9_0p90to0p93,90.0,999999.0,0.9739,0.0056,0,0,0.9734,0.0043,0,0,0.0005,0.005622
preBpix,notrkiso,unseed,EE_R9gt0p93,0.0,21.0,0.7077,0.0102,4,4,0.7257,0.0236,4,0,0.018,0.020689
preBpix,notrkiso,unseed,EE_R9gt0p93,21.0,25.0,0.8813,0.0061,4,4,0.9036,0.0103,4,0,0.0223,0.023119
preBpix,notrkiso,unseed,EE_R9gt0p93,25.0,28.0,0.9523,0.0016,4,0,0.9274,0.0026,4,0,0.0249,0.024951
preBpix,notrkiso,unseed,EE_R9gt0p93,28.0,31.0,0.9578,0.0023,0,4,0.9461,0.0018,4,4,0.0117,0.011924
preBpix,notrkiso,unseed,EE_R9gt0p93,31.0,35.0,0.9748,0.001,0,0,0.9623,0.0005,4,4,0.0125,0.01254
preBpix,notrkiso,unseed,EE_R9gt0p93,35.0,40.0,0.9753,0.0003,4,0,0.9749,0.0003,4,0,0.0004,0.0005
preBpix,notrkiso,unseed,EE_R9gt0p93,40.0,45.0,0.9826,0.0002,4,0,0.9823,0.0003,0,0,0.0003,0.000361
preBpix,notrkiso,unseed,EE_R9gt0p93,45.0,50.0,0.9852,0.0009,0,0,0.9851,0.0003,0,0,0.0001,0.000906
preBpix,notrkiso,unseed,EE_R9gt0p93,50.0,60.0,0.9878,0.0031,0,4,0.9877,0.0005,4,4,0.0001,0.003102
preBpix,notrkiso,unseed,EE_R9gt0p93,60.0,70.0,0.9912,0.0013,0,0,0.9914,0.0007,0,4,0.0002,0.001315
preBpix,notrkiso,unseed,EE_R9gt0p93,70.0,90.0,0.989,0.001,0,0,0.993,0.0016,0,0,0.004,0.004123
preBpix,notrkiso,unseed,EE_R9gt0p93,90.0,999999.0,0.995,0.0041,0,0,0.9926,0.0009,4,0,0.0024,0.004751
